Name
Aio
Amiria
Anahera
Ani
Aria
Aroha
Ataahua
Atarangi
Hine
Hinewai
Hinepounamu
Hinemoa
Irihapeti
Kahurangi
Kahu
Kaia
Kara
Kararaina
Kauri
Kiri
Kiriwai
Kohara
Kororia
Kuini
Maata
Maia
Maika
Makareta
Manaaki
Manaia
Manawa
Marama
Mareikura
Maru
Maunga
Mere
Mereana
Miharo
Moana
Moerangi
Muriwai
Ngahuia
Ngaire
Ngaio
Ngapera
Ngaroma
Nikita
Nikora
Noeline
Oriwia
Pare
Parerau
Pounamu
Piki
Pirihira
Puna
Rahera
Rangimarie
Rangi
Rehutai
Rewa
Rina
Roimata
Rua
Ruia
Taimana
Taini
Takirua
Tama
Tamara
Tanea
Tangiwai
Taonga
Tareha
Tawera
Te Aroha
Te Ata
Te Kaea
Te Koha
Te Rina
Tia
Tipene
Tui
Turia
Waiari
Waipuna
Waita
Whaea
Whaitiri
Whare
Whina
Ake
Anaru
Arapeta
Ariki
Ari
Hamuera
Hemi
Henare
Hori
Hoani
Hone
Ihaia
Ihaka
Imani
Kahika
Kahurangi
Kahu
Kaia
Kanae
Kauri
Kawana
Kereama
Kiri
Koa
Kopa
Korimako
Koro
Koroheke
Kupe
Maaka
Maika
Manaaki
Manaia
Manihera
Manuka
Maru
Matatau
Matiu
Mikaere
Makoare
Ngahere
Ngahuia
Ngarimu
Nikau
Nikora
Noa
Paora
Parata
Pene
Piripi
Pita
Pono
Pukoro
Rahiri
Ranginui
Rawiri
Rewi
Rongo
Rua
Ruawhitu
Ruru
Tahu
Tamahou
Tamati
Tamihana
Tangaroa
Tapu
Tawhiao
Te Ariki
Te Manu
Te Rangi
Te Rua
Te Wai
Te Whetu
Tika
Tihema
Timi
Tio
Tuhawaiki
Turanga
Tutere
Tuterangi
Uenuku
Waka
Wiremu
Whetu
Ala
Alaisa
Alofa
Amuia
Ana
Eseta
Fa’amoana
Fale
Fiapoto
Fiafia
Fiva
Galumalemana
Iva
Lanuola
Lagi
Lupe
Maliana
Malu
Malia
Malietoa
Mareta
Mele
Moana
Noa
Ofeina
Olo
Peata
Rosalia
Saia
Sina
Sosefina
Tau
Taua
Tautua
Teuila
Tofaeono
Ula
Uli
Vaega
Vaeluaga
Vaine
Vasa
Vini
Afa
Alapati
Amani
Fa’avae
Faiumu
Fetu
Fetuilelagi
Iakopo
Iosefa
Iuli
Iupeli
Ioane
Isaako
Kaleopa
Lafaele
Lameko
Lilo
Loto
Lui
Luteru
Maika
Manase
Manoa
Mika
Mikaele
Paulo
Peni
Petelo
Sanele
Sefa
Setefano
Siaki
Sione
So’o
Solomona
Tafa
Taito
Tasi
Tavita
Telea
Tofilau
Toma
Viliamu
‘Ahoia
Alisi
Amiria
Fiva
Heilala
Hina
Kalolaine
Katalina
Latai
Lolohea
Losaline
Lupe
Malia
Mele
Meleane
Meletau
Ngalu
Oliveti
Palu
Pitaia
Sela
Silia
Siosifa
Soana
Talanoa
Talia
Telesia
Tupou
Vika
‘Afa
Alipate
Feleti
Fisi
Haloti
Hopoate
Kelepi
Kivalu
Latu
Lopeti
Malakai
Manu
Mosese
Pita
Siosaia
Soakai
Takai
Taniela
Taufa
Tevita
Tupou
Vaea
Viliami
Voni
Akaiti
Akeina
Ana
Aroha
Ena
Kura
Makea
Marama
Moana
Ngarima
Pare
Rangi
Raukura
Ruanae
Tangiia
Taputua
Teina
Tepaeru
Tepora
Tuaine
Iona
Koro
Mana
Maru
Matapo
Matiu
Maui
Ngatokorua
Piri
Rongo
Rua
Tangaroa
Tapeta
Tere
Teva
Tua
Vaine
Aho
Anitolo
Fiafia
Fia
Ligi
Luga
Lusia
Mele
Meleane
Ofania
Salote
Silina
Taua
Togia
Tui
Tupa
Vaiea
Vili
Vailima
Ahohiva
Fale
Iakopo
Ioane
Lafaele
Lote
Mika
Peni
Samuela
Sione
Tala
Tau
Tavita
Togia
Toa
Vaka
Viliamu
Adi
Asenaca
Bulou
Esiteri
Joneva
Kesaia
Laisa
Litia
Losalini
Miriama
Mere
Mereani
Salanieta
Sainimili
Tima
Timaima
Vilisi
Wati
Alifereti
Epeli
Jone
Josateki
Kelepi
Laisenia
Manasa
Mosese
Peni
Ratu
Sakiusa
Semi
Seru
Talemaitoga
Tevita
Timoci
Vilisoni
Waisake
